,city,event,stage,dates,match_type,match_type_number,player_of_match,winner,winner_by,overs,season,team_type,team1,team2,toss_winner,toss_decision,venue
139,Dublin,Pakistan tour of Ireland,,2024-05-14,T20,2610,Shaheen Shah Afridi,Pakistan,{'wickets': 6},20,2024,international,Ireland,Pakistan,Pakistan,field,"Castle Avenue, Dublin"
140,Durban,Pakistan tour of South Africa,,2024-12-10,T20,3026,GF Linde,South Africa,{'runs': 11},20,2024/25,international,South Africa,Pakistan,South Africa,bat,"Kingsmead, Durban"
141,Centurion,Pakistan tour of South Africa,,2024-12-13,T20,3047,RR Hendricks,South Africa,{'wickets': 7},20,2024/25,international,Pakistan,South Africa,Pakistan,bat,"SuperSport Park, Centurion"
142,Bulawayo,Pakistan tour of Zimbabwe,,2024-12-01,T20,2997,Tayyab Tahir,Pakistan,{'runs': 57},20,2024/25,international,Pakistan,Zimbabwe,Pakistan,bat,"Queens Sports Club, Bulawayo"
143,Bulawayo,Pakistan tour of Zimbabwe,,2024-12-03,T20,2999,Sufiyan Muqeem,Pakistan,{'wickets': 10},20,2024/25,international,Zimbabwe,Pakistan,Zimbabwe,bat,"Queens Sports Club, Bulawayo"
144,Bulawayo,Pakistan tour of Zimbabwe,,2024-12-05,T20,3004,BJ Bennett,Zimbabwe,{'wickets': 2},20,2024/25,international,Pakistan,Zimbabwe,Pakistan,bat,"Queens Sports Club, Bulawayo"
145,Bristol,,,2006-08-28,T20,8,Shahid Afridi,Pakistan,{'wickets': 5},20,2006,international,England,Pakistan,England,bat,County Ground
146,Durban,ICC World Twenty20,,2007-09-12,T20,22,Shahid Afridi,Pakistan,{'runs': 51},20,2007/08,international,Pakistan,Scotland,Scotland,field,Kingsmead
147,Durban,ICC World Twenty20,,2007-09-14,T20,29,Mohammad Asif,no result,no result,20,2007/08,international,India,Pakistan,Pakistan,field,Kingsmead
148,Johannesburg,ICC World Twenty20,,2007-09-17,T20,35,Younis Khan,Pakistan,{'runs': 33},20,2007/08,international,Pakistan,Sri Lanka,Sri Lanka,field,New Wanderers Stadium
149,Johannesburg,ICC World Twenty20,,2007-09-18,T20,37,Misbah-ul-Haq,Pakistan,{'wickets': 6},20,2007/08,international,Australia,Pakistan,Pakistan,field,New Wanderers Stadium
150,Cape Town,ICC World Twenty20,,2007-09-20,T20,42,Junaid Siddique,Pakistan,{'wickets': 4},20,2007/08,international,Bangladesh,Pakistan,Pakistan,field,Newlands
151,Cape Town,ICC World Twenty20,Semi Final,2007-09-22,T20,44,Umar Gul,Pakistan,{'wickets': 6},20,2007/08,international,New Zealand,Pakistan,New Zealand,bat,Newlands
